,ground_truth,baseline,baseline_s42,baseline_s985,filt_freq_distro,filt_freq_distro_s42,filt_freq_distro_s985,filt_gen_sent,filt_gen_sent_s42,filt_gen_sent_s985,filt_tgt_ppl,filt_tgt_ppl_s42,filt_tgt_ppl_s985
0,2,0,0,0,0,1,1,1,2,2,0,0,0
1,2,0,1,0,2,1,1,1,1,1,1,2,1
2,4,4,3,3,0,0,0,3,3,4,0,0,0
3,1,2,2,2,2,2,2,2,2,2,2,2,2
4,5,2,0,0,1,1,0,2,2,2,1,0,2
5,1,1,1,1,1,2,1,1,1,1,1,1,1
6,1,0,0,1,1,3,0,0,3,0,1,1,2
7,1,4,4,4,4,4,4,3,4,3,4,4,2
8,2,1,1,0,2,0,2,2,2,1,2,1,2
9,4,0,0,0,2,2,2,2,3,2,2,5,0
10,3,3,3,4,3,4,3,3,4,6,4,4,4
11,1,0,0,0,1,3,1,1,2,2,1,2,2
12,4,3,2,0,3,4,3,3,3,4,3,2,2
13,3,1,1,1,2,2,1,0,1,2,1,1,1
14,1,2,3,3,1,0,1,1,2,1,1,1,1
15,0,0,0,0,1,0,0,2,1,3,1,1,1
16,1,0,0,0,1,0,1,1,0,1,1,0,1
17,1,1,2,1,4,2,1,2,3,2,3,3,3
18,8,4,4,4,4,4,5,2,2,2,5,2,0
19,2,0,0,0,2,2,2,3,3,2,3,3,1
20,1,0,0,0,4,3,4,2,2,1,2,4,1
21,3,4,5,4,6,5,6,2,4,4,4,4,4
22,0,0,0,0,2,2,2,1,1,1,2,2,2
23,2,1,3,1,1,2,2,2,2,2,2,2,2
24,3,3,3,3,3,4,3,2,2,2,2,2,2
25,1,1,2,1,3,3,3,2,1,1,1,3,1
26,0,0,2,2,2,5,2,3,2,1,3,2,1
27,1,1,0,1,1,0,1,2,2,2,1,1,1
28,0,0,0,0,2,3,2,3,4,3,2,1,1
29,3,3,3,3,4,3,4,3,3,2,4,3,0
30,1,0,1,0,1,2,2,4,4,2,2,2,2
